timestamp,open,high,low,close,volume,rate_of_return
2022-07-14,0.438,0.446,0.417,0.443,188230.72,0.011415525114155223
2022-07-15,0.443,0.454,0.433,0.443,266616.93,0.0
2022-07-16,0.44,0.459,0.432,0.458,337763.28,0.0338600451467268
2022-07-17,0.459,0.466,0.442,0.448,428950.15,-0.02183406113537123
2022-07-18,0.448,0.499,0.446,0.49,928359.11,0.09375
2022-07-19,0.488,0.526,0.474,0.516,770953.41,0.05306122448979589
2022-07-20,0.514,0.548,0.487,0.494,615979.83,-0.04263565891472876
2022-07-21,0.495,0.502,0.476,0.499,435432.59,0.010121457489878471
2022-07-22,0.498,0.511,0.478,0.482,234510.05,-0.034068136272545124
2022-07-23,0.482,0.519,0.474,0.517,250185.4,0.07261410788381739
2022-07-24,0.519,0.536,0.51,0.512,300300.13,-0.009671179883945835
2022-07-25,0.512,0.512,0.475,0.477,393672.97,-0.06835937500000011
2022-07-26,0.477,0.477,0.451,0.468,191370.87,-0.01886792452830177
2022-07-27,0.468,0.512,0.46,0.511,386633.35,0.09188034188034178
2022-07-28,0.512,0.523,0.489,0.515,560961.14,0.007827788649706457
2022-07-29,0.516,0.546,0.506,0.522,697006.08,0.013592233009708687
2022-07-30,0.525,0.555,0.51,0.527,291488.26,0.009578544061302763
2022-07-31,0.527,0.544,0.514,0.516,255760.6,-0.020872865275142316
2022-08-01,0.516,0.526,0.501,0.515,502500.41,-0.0019379844961240345
2022-08-02,0.51,0.511,0.489,0.494,122162.57,-0.040776699029126284
2022-08-03,0.493,0.516,0.49,0.501,136841.26,0.014170040485830038
2022-08-04,0.505,0.511,0.493,0.499,292280.83,-0.003992015968063867
2022-08-05,0.501,0.524,0.5,0.518,383663.79,0.038076152304609145
2022-08-06,0.515,0.523,0.511,0.512,114930.6,-0.01158301158301156
2022-08-07,0.512,0.538,0.507,0.527,214521.51,0.029296875
2022-08-08,0.531,0.55,0.523,0.535,354014.19,0.015180265654648917
2022-08-09,0.535,0.537,0.506,0.514,431858.97,-0.03925233644859816
2022-08-10,0.513,0.539,0.503,0.538,321905.26,0.04669260700389111
2022-08-11,0.538,0.547,0.528,0.528,692195.83,-0.0185873605947956
2022-08-12,0.528,0.541,0.521,0.539,135234.72,0.02083333333333326
2022-08-13,0.539,0.568,0.538,0.558,327648.78,0.03525046382189245
2022-08-14,0.557,0.594,0.557,0.571,219018.49,0.023297491039426355
2022-08-15,0.568,0.582,0.543,0.552,413583.26,-0.0332749562171627
2022-08-16,0.552,0.57,0.548,0.557,74362.25,0.009057971014492683
2022-08-17,0.56,0.583,0.531,0.539,271679.2,-0.032315978456014416
2022-08-18,0.539,0.543,0.508,0.511,246909.1,-0.051948051948051965
2022-08-19,0.511,0.511,0.447,0.453,994872.44,-0.11350293542074363
2022-08-20,0.451,0.463,0.435,0.452,503301.91,-0.002207505518763808
2022-08-21,0.451,0.472,0.447,0.462,233495.97,0.022123893805309658
2022-08-22,0.461,0.462,0.438,0.459,361913.5,-0.006493506493506551
2022-08-23,0.459,0.469,0.446,0.465,254689.99,0.013071895424836555
2022-08-24,0.464,0.469,0.454,0.459,181647.53,-0.012903225806451646
2022-08-25,0.459,0.475,0.458,0.464,207140.56,0.01089324618736387
2022-08-26,0.464,0.482,0.426,0.431,760293.78,-0.07112068965517249
2022-08-27,0.431,0.451,0.427,0.45,459770.7,0.044083526682134666
2022-08-28,0.45,0.454,0.428,0.429,205198.0,-0.046666666666666745
2022-08-29,0.429,0.453,0.424,0.451,571421.65,0.05128205128205132
2022-08-30,0.452,0.462,0.438,0.453,697423.66,0.0044345898004434225
2022-08-31,0.455,0.468,0.445,0.446,754617.73,-0.015452538631346546
2022-09-01,0.447,0.462,0.441,0.458,470737.71,0.026905829596412634
2022-09-02,0.458,0.466,0.448,0.455,1429930.4,-0.0065502183406113135
2022-09-03,0.456,0.486,0.456,0.48,404500.55,0.05494505494505497
2022-09-04,0.479,0.51,0.476,0.505,449427.69,0.05208333333333348
2022-09-05,0.506,0.507,0.481,0.498,488832.47,-0.013861386138613874
2022-09-06,0.497,0.512,0.458,0.461,1606533.08,-0.07429718875502
2022-09-07,0.463,0.481,0.453,0.48,277577.05,0.04121475054229928
2022-09-08,0.48,0.484,0.463,0.48,566317.24,0.0
